conferenceID,conferenceName,issn,url
b17f439d-f13b-4720-875e-b9c982709761,Mexican International Conference on Computer Science,,http://www.wikicfp.com/cfp/program?id=889
4fe8de49-53d7-48d1-80be-3c6307451795,Anais ... Seminário Paranaense sobre Medicalização da Educação e da Sociedade,2317-9090,https://anais.unicentro.br/sempar/
bb0ae3ca-fc8a-419d-97a2-be3e42f0cb0d,Revista Internacional de Medición y Evaluación,2573-6698,
e7007553-815a-426b-a642-113668815ee6,Jurnal Kesehatan Gigi,2407-0866,https://ejournal.poltekkes-smg.ac.id/ojs/index.php/jkg/index
53e0d5ec-99b8-4675-9bb1-70d6fd1be659,ISRN Neuroscience,2314-4661,http://www.isrn.com/journals/neuroscience/
a478fabe-7e7a-4b58-bc4d-b0d97577a82f,"Joint International Conference on Power Electronics, Drives and Energy Systems & Power India",,
b9fb840b-9a29-4473-9852-75bf528da025,Problemi mіzhnarodnih vіdnosin,2221-5719,http://goo.gl/eZSmvf
19480d15-d1b7-4f02-a6e5-fe7bced5356c,Ştiinţa Culturii Fizice,1857-4114,http://www.scf.usefs.md/revista-2014.php
de181cee-d78c-48cd-bf93-26e512b281a9,Revista de Agaroquimica y Tecnologia de Alimentos,0034-7698,
cfa46130-010c-4f92-9278-8acba26f9c57,Oslo Occasional Papers in Social Anthropology,0333-2675,
4d36a6ab-f208-4eb6-8dd3-303555166e02,"Memorias, escritos y trabajos desde América Latina",2451-6384,http://papelcosido.fba.unlp.edu.ar/ojs/index.php/metal
3c8d2a71-cfca-4e92-a077-f4722f4b3252,Technology in Language Teaching & Learning,2652-1687,https://journals.castledown-publishers.com/tltl
130c2094-8858-46a8-919b-fdd0405d1c20,Acta medica et biologica,0567-7734,
c86da091-a92e-449e-b155-22a5abcb055d,Jaycees magazine,0893-0031,
7f42bbae-685c-4ed7-b44b-a4f0babaee81,Zosen-kyokai shi,0386-1503,
125a6689-b9ac-49c8-b049-cb928483b563,Biochimica et Biophysica Acta - Protein Structure and Molecular Enzymology,0167-4838,http://www.sciencedirect.com/science/journal/01674838
b0c47b05-146b-4f9b-aa8d-ca46bb4bfe0e,Anuarul Institutului de Cercetari Socio-Umane,1454-5284,https://www.ceeol.com/search/journal-detail?id=970
5af74e0d-dfe2-477d-8800-b34806c100e5,Professional communication and translation studies,2065-099X,https://www.ceeol.com/search/journal-detail?id=621
a22f8953-1dd8-4185-9d36-8118eef1e894,Steiniana revista de estudios interdisciplinarios,0719-8728,http://revistasteiniana.uc.cl/es/
b5ced295-d2ad-416c-b926-1e428c6d5ec3,"International Conference on Communications, Computing, Cybersecurity, and Informatics",,
c64efdc7-8833-4cda-ae9f-1fbdaf30f5fa,Filosofia italiana,2611-2892,http://www.filosofiaitaliana.net/
d9256229-545b-4d89-9fa0-9e1fc7fb6662,AMAST Series in Computing,1793-1096,http://www.worldscientific.com/series/amast
c7bbfd46-83ec-42e1-9087-3d11fc1e4dba,Pangadereng Jurnal Hasil Penelitian Ilmu Sosial dan Humaniora,2502-4345,https://jurnalpangadereng.kemdikbud.go.id/index.php/pangadereng/index
b49f949d-5da3-49af-89ec-014230ce1a44,Studies in Modern European History,0893-6897,
a56806b2-7e8d-49c6-9f53-07a98ee68a80,Acta Universitatis Nicolai Copernici. Nauki Humanistyczno-Społeczne. Studia Slavica,1428-4960,http://kpbc.umk.pl/dlibra/publication?id=5621
ca9b4355-cf92-434e-8e54-648952ef1c2a,Connecticut Poetry Review,0277-7770,
6bc79716-e90e-42ed-957c-428bb939e32c,Boletín biológica,1852-8864,http://www.boletinbiologica.com.ar/
1ee80b9d-fda7-4100-93b8-3a486244673e,Regensburger Beiträge zur deutschen Sprach- und Literaturwissenschaft,0171-7170,
b0c37aa3-d95a-486d-b360-7d55b9292747,Character Lab Tips,2769-3155,
42b1012d-ddab-4ff7-afb6-44cec0e80f85,Infectious Diseases and Tropical Medicine,2379-4054,http://www.infectiousjournal.com/
b4c2e39b-6b33-4969-ae7a-93b5520ecad0,Longevity & Healthspan,2046-2395,http://www.longevityandhealthspan.com/
6f1b76b4-0e26-49e1-9169-2d9f683ab69a,Jurnal Ekonomi Bisnis Manajemen dan Akuntansi (JEBMA),2797-7161,https://jurnal.itscience.org/index.php/jebma
8078686a-37cc-43f2-85f2-fd0e211fc8f7,FilologiÄ?eski rakursi,2367-8348,http://shu.bg/faculties/fhn/izdaniq/filologicheski-rakursi
ec59aace-1b20-40df-99d7-4b1e410a8303,"Human, Health and Halal Metrics",2717-1027,http://jhhhm.halal.ac.ir/
3936ca13-cac3-40e2-ac81-32d4429953a0,IRCS medical science. Clinical medicine,0309-1546,
2683bd5e-f030-4937-991d-ad8fb2e95c35,Advanced Technologies in Mechanics,2392-0327,http://www.atim.media.pl/
5bc2a347-6e2e-4ae9-879d-a2cc9b655341,Geographical Abstracts: Physical Geography,0954-0504,
447343e7-f802-4100-b8a2-4e90412c2b1d,DMMH's publikasjonsserie,0802-3506,
1138fb54-2e34-4419-a349-ab79fd616da2,Bank Accounting & Finance,0894-3958,http://www.bankaccountingandfinance.com/RecentIssues.htm
336d921c-9eef-45f4-92df-4b5dddfeb8e8,Extracta Mathematicae,0213-8743,http://www1.unex.es/eweb/extracta/
d24552e0-ccf6-4da2-81d4-f90f93549903,Theatre Record,0962-1792,https://www.theatrerecord.com/
f5d6d2b0-355e-45be-8a84-4375a7bdbd90,Hospitals,0018-5973,
34a78b3e-b333-477e-b769-15143384ca09,"Sequences, Subsequences, and Consequences",,
19d23e92-095f-4636-91c9-26a2b3587fda,Jaguar journal,0743-3913,
1ddda9ec-5083-44bd-b089-e7f453fddc29,European Symposium on Usable Security,,https://dl.acm.org/conference/eurousec
