start_id,end_id
10.1145/3623509.3633352,ACM International Conference Proceeding Series
10.1051/e3sconf/202448204001,E3S Web of Conferences
10.1145/3636243.3636263,ACM International Conference Proceeding Series
10.1145/3641399.3641445,ACM International Conference Proceeding Series
10.4230/LIPIcs.CSL.2024.16,"Leibniz International Proceedings in Informatics, LIPIcs"
10.1063/5.0183693,AIP Conference Proceedings
10.1145/3641399.3641436,ACM International Conference Proceeding Series
10.1145/3636243.3636257,ACM International Conference Proceeding Series
10.1145/3636243.3636249,ACM International Conference Proceeding Series
10.1145/3597503.3623331,Proceedings - International Conference on Software Engineering
