venueID,paperID,startPage,endPage
fclelyrf-8rkb-kgtb-3qxm-lhbmobw5asft,78794320,92,179
krtt0mu7-teng-4cs2-0o6t-42u5t8wbnfns,78794320,19,67
qxpkcrda-laj4-kqle-oroj-5ffuo0h87p1z,78794320,86,117
ztfap96x-2h80-0r67-fcxm-5d6xbre0if1v,78794320,96,107
6al597it-8i4o-p657-vlwc-2rj8sdrkai7n,78794320,81,89
6h914x2b-mo7f-wok1-d4zg-ekfx3m5c57c6,78794320,98,165
da0lgotx-rkt8-k749-ctss-ybe8dwfqe8nc,194216967,55,155
amtulq18-y1ji-03d9-k1p6-0mwqtbe3yjdo,194216967,4,25
pnhrnqvz-147x-5k5h-wwp8-gxsvy46uav37,194216967,67,109
u6e18tg2-bjqv-i23t-h54w-xhowqr7fgawx,194216967,67,133
26o0wis9-gz99-0ohy-yhrq-dptyiquo9qt1,194216967,72,90
iplkbpnj-bf44-beoq-nc8i-cikj00n13hhd,194216967,44,109
mgv8sm9o-nnsg-go8m-841g-c6m8ak27ayp2,194216967,14,84
cuuqd7af-uq7k-9km9-ha91-ueeli8pi4i4w,194216967,93,141
ztfap96x-2h80-0r67-fcxm-5d6xbre0if1v,194216967,29,102
0sfas7jw-o8kh-xaeh-uyah-wqqiasaos9gs,56555627,54,95
ixnca7hh-re9l-vuls-34g5-n7reu3m6kgq7,56555627,46,74
fclelyrf-8rkb-kgtb-3qxm-lhbmobw5asft,56555627,99,157
jd0fc1o4-erex-bv09-azmb-t430ick3rbky,56555627,44,141
euf5qrgb-qmyk-th04-ukqq-gs9n8pijn1lg,56555627,25,49
ko5hgtlb-5zo9-o1er-q9tr-pjnmaf06t5el,56555627,49,57
ojbtxtg7-box1-8vuf-7920-v8cng6pjhfet,56555627,54,103
5vmt2pjs-ntdn-orfc-54qm-vci2tztrgrpu,56555627,65,99
5c7l6ixy-hwf6-rqyl-gdb3-7besihb21xmv,56555627,23,95
v98i8i45-zbq5-vzo6-ia5v-hdx3x0uwn2vm,56555627,49,97
co77mlq0-slga-t9q1-fauz-0wt35yjlf1fx,56555627,9,47
oe14zud1-0fu2-3ahc-wxup-994vocli2m41,56555627,16,50
kmt0p2tm-vs4q-5x6x-k357-eij1dxz5nnvb,56555627,65,143
ard43tuw-57e5-3r6u-punt-c1lu8f6c4sbs,56555627,42,50
9x96egi6-sd35-yd0e-m2ws-xvxhjb98ho1e,56555627,49,56
knfkc6pj-jlys-vnuw-rj6h-285c4le81fef,82089198,29,106
ktqe2bfr-6eq0-3vhi-3i8t-89u5skmo3uef,82089198,5,65
kgc7840s-5ya8-4y19-m6tg-vj59j54en0xs,82089198,65,142
a4u5h2nu-pves-10oq-lgx6-rrsoufi4gtjd,82089198,100,137
4itt4d8u-9tm7-19t9-zlux-tcuv3d0btbw7,82089198,91,166
d7z01pao-yy0o-hjo1-vldi-rjd83waswc9s,82089198,2,44
9x96egi6-sd35-yd0e-m2ws-xvxhjb98ho1e,82089198,94,144
6taerf77-zpxv-3n91-5ced-gg4zm77a9nwj,82089198,30,119
ddlizvvx-ui1r-iw3i-prxr-2rvi6j05c67v,82089198,9,42
a9kkiij5-b85v-ohv4-zlak-yq6lv2l863fr,82089198,37,59
pvf0pcop-g9n1-ueg8-0yzn-37jtapiy9y0k,181456576,100,186
rwa7i0nw-hhuf-fmn0-iddw-knywfkovac70,181456576,27,77
civmaj2k-quo3-3xlr-qqxr-ml9m1agdhww0,181456576,24,78
da0lgotx-rkt8-k749-ctss-ybe8dwfqe8nc,181456576,17,78
amtulq18-y1ji-03d9-k1p6-0mwqtbe3yjdo,181456576,18,19
hx2leeoc-vkar-hmue-s5fg-nvz31mfshpos,181456576,21,33
h5s17nri-9i3r-grw0-t4fe-op4ry9qdvqsq,186375032,27,58
fivkgbj9-aesb-znzo-lhr6-cksh5bp7jcee,186375032,31,87
rmxld557-bz7b-6h2p-kj82-s98w808qob46,186375032,44,130
yd0y6ql9-yxes-hq6u-dydy-tg3up2r2wp36,186375032,19,31
ktqe2bfr-6eq0-3vhi-3i8t-89u5skmo3uef,186375032,87,89
dnk8e5uw-8150-88af-xq79-thz6o6ocse4n,186375032,38,80
x0ul3dry-490r-pamd-304b-0z0heekibkiv,186375032,86,138
332vpnd0-nzgb-xj8l-24tj-i25r3ic1er8z,186375032,45,75
xfb0qwol-yoxd-zre0-qwjc-hlfye05pxcta,186375032,8,16
y1bsqxgm-zmlx-1942-6v64-z2xz1s7uxs7n,186375032,71,80
8pzekfuo-n7zb-8x52-m1d7-tsavc64g79hm,186375032,15,47
wzp3ua31-tar5-s6x5-ager-gq0ppgwanaga,186375032,37,68
krtt0mu7-teng-4cs2-0o6t-42u5t8wbnfns,220353019,17,50
ssm3vjjx-ul6p-oi3i-wevb-q5byqlnezwnx,220353019,53,65
26o0wis9-gz99-0ohy-yhrq-dptyiquo9qt1,220353019,80,114
ndtq4opj-8hb5-3c2v-7eg9-rigqv2l1kgp6,220353019,67,138
1voor3od-tjck-8gy6-ov1t-7y01wy8gp3y1,220353019,16,102
ihfncgmd-gs4d-eapx-i2iz-ecea92vsgutv,220353019,69,85
v3dpbqir-l5lk-p7il-rz94-dy0quieo2tfx,220353019,43,80
mtxahjcp-tob8-12op-x9qe-9yvf7wrbex1r,220353019,82,180
4278k7zc-20cx-wwmy-pcbn-bgy9nl23dfah,220353019,85,125
i3fzhm8s-ju20-xlc5-sc5s-m584i2bwt5b7,220353019,57,88
tt8wla1c-dy5f-0yro-xi1k-9c0w7mojaq1x,222856387,77,148
o8fsqbao-vbzx-a60q-y1ds-n6b45j26ftkc,222856387,85,129
6h914x2b-mo7f-wok1-d4zg-ekfx3m5c57c6,222856387,3,89
mite1qci-9w0t-vb6x-ms35-ogskpmsg2eh0,222856387,19,59
z1pkf3n5-gjhg-lo8l-21n4-d2byd3uuadv7,222856387,37,63
1voor3od-tjck-8gy6-ov1t-7y01wy8gp3y1,222856387,55,83
40cb2q87-nyc3-wfa4-sbvl-m94x05cdum09,222856387,64,70
95ks4fb8-q9t4-dlaq-g9yh-9yn8oi7s3gl1,222856387,55,64
ojbtxtg7-box1-8vuf-7920-v8cng6pjhfet,222856387,20,42
mtxahjcp-tob8-12op-x9qe-9yvf7wrbex1r,122599050,85,109
dcsbc3oz-5f1q-1f32-k3ag-2dwjo30txncg,122599050,83,168
yzj9m1xg-pki5-1s55-hc52-k2sxnd0fa71z,122599050,52,107
lce4xpfy-0xvc-db6r-84rc-48uybuxp2q9x,122599050,85,173
ojbtxtg7-box1-8vuf-7920-v8cng6pjhfet,122599050,14,26
3e853gem-7889-t6ig-47r5-fpatp6leb0tw,122599050,6,34
2uh4cr5k-v77n-wk0j-0xgl-10qgsjyctbly,122599050,20,105
ssm3vjjx-ul6p-oi3i-wevb-q5byqlnezwnx,122599050,83,101
