start_id,end_id
"11th ACM Workshop on Information Hiding and Multimedia Security, IH and MMSec 2023",IH and MMSec 2023 - Proceedings of the 2023 ACM Workshop on Information Hiding and Multimedia Security
"14th International Conference on Emerging Ubiquitous Systems and Pervasive Networks / 13th International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH 2023",Procedia Computer Science
"19th International Workshop on Data Management on New Hardware, DaMoN 2023","Proceedings of the 19th International Workshop on Data Management on New Hardware, DaMoN 2023"
"11th ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data, BigSpatial 2023",BigSpatial 2023 - Proceedings of the 11th ACM SIGSPATIAL International Workshop on Analytics for Big Geospatial Data
"29th ACM Symposium on Operating Systems Principles, SOSP 2023",SOSP 2023 - Proceedings of the 29th ACM Symposium on Operating Systems Principles
"18th International Symposium on Spatial and Temporal Data, SSTD 2023",ACM International Conference Proceeding Series
"31st ACM International Conference on Multimedia, MM 2023",MM 2023 - Proceedings of the 31st ACM International Conference on Multimedia
"27th International Conference on Database Theory, ICDT 2024","Leibniz International Proceedings in Informatics, LIPIcs"
"1st Workshop on Verifiable Database Systems, VDBS 2023",ACM International Conference Proceeding Series
"14th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics, ACM-BCB 2023","ACM-BCB 2023 - 14th ACM Conference on Bioinformatics, Computational Biology, and Health Informatics"
"5th International Conference on Information Technology and Computer Communications, ITCC 2023",ACM International Conference Proceeding Series
"30th ACM SIGSAC Conference on Computer and Communications Security, CCS 2023",CCS 2023 - Proceedings of the 2023 ACM SIGSAC Conference on Computer and Communications Security
"14th International Conference on E-business, Management and Economics, ICEME 2023",ACM International Conference Proceeding Series
"29th ACM SIGKDD Conference on Knowledge Discovery and Data Mining, KDD 2023",Proceedings of the ACM SIGKDD International Conference on Knowledge Discovery and Data Mining
"2023 ACM/SIGMOD International Conference on Management of Data, SIGMOD 2023",Proceedings of the ACM SIGMOD International Conference on Management of Data
"12th International Conference on Software and Information Engineering, ICSIE 2023",ACM International Conference Proceeding Series
"8th International Conference on Control Engineering and Artificial Intelligence, CCEAI 2024",ACM International Conference Proceeding Series
"14th ACM/IEEE International Conference on Cyber-Physical Systems, with CPS-IoT Week 2023, ICCPS 2023",ICCPS 2023 - Proceedings of the 2023 ACM/IEEE 14th International Conference on Cyber-Physical Systems with CPS-IoT Week 2023
"2023 International Conference on Computer, Vision and Intelligent Technology, ICCVIT 2023",ACM International Conference Proceeding Series
"14th ACM Symposium on Cloud Computing, SoCC 2023",SoCC 2023 - Proceedings of the 2023 ACM Symposium on Cloud Computing
"18th ACM ASIA Conference on Computer and Communications Security, ASIA CCS 2023",Proceedings of the ACM Conference on Computer and Communications Security
"8th International Conference on Multimedia Systems and Signal Processing, ICMSSP 2023",ACM International Conference Proceeding Series
"2023 Genetic and Evolutionary Computation Conference Companion, GECCO 2023 Companion",GECCO 2023 Companion - Proceedings of the 2023 Genetic and Evolutionary Computation Conference Companion
"6th International Conference on Signal Processing and Machine Learning, SPML 2023",ACM International Conference Proceeding Series
"Workshops of the EDBT/ICDT 2024 Joint Conference, EDBT/ICDT-WS 2024",CEUR Workshop Proceedings
"27th International Database Engineered Applications Symposium, IDEAS 2023",ACM International Conference Proceeding Series
"32nd International Symposium on High-Performance Parallel and Distributed Computing, HPDC 2023",HPDC 2023 - Proceedings of the 32nd International Symposium on High-Performance Parallel and Distributed Computing
"16th International Symposium on Visual Information Communication and Interaction, VINCI 2023",ACM International Conference Proceeding Series
"48th International Symposium on Mathematical Foundations of Computer Science, MFCS 2023","Leibniz International Proceedings in Informatics, LIPIcs"
"2nd ACM SIGSPATIAL International Workshop on Searching and Mining Large Collections of Geospatial Data, GeoSearch 2023",GeoSearch 2023 - Proceedings of the 2nd ACM SIGSPATIAL International Workshop on Searching and Mining Large Collections of Geospatial Data
"23rd Edition of the ACM Internet Measurement Conference, IMC 2023","Proceedings of the ACM SIGCOMM Internet Measurement Conference, IMC"
"25th International Conference on Grey Literature: Confronting Climate Change with Trusted Grey Resources, GL 2023",GL-Conference Series: Conference Proceedings
"55th Annual ACM Symposium on Theory of Computing, STOC 2023",Proceedings of the Annual ACM Symposium on Theory of Computing
"2023 ACM Turing Award Celebration Conference, CHINA 2023","Proceedings of ACM Turing Award Celebration Conference, CHINA 2023"
"2023 Free and Open Source Software for Geospatial, FOSS4G 2023","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives"
"2023 CoNEXT Student Workshop, CoNEXT-SW 2023",CoNEXT-SW 2023 - Proceedings of the CoNEXT Student Workshop 2023
"22nd ACM/IEEE International Conference on Information Processing in Sensor Networks, IPSN 2023",IPSN 2023 -  Proceedings of the 2023 22nd International Conference on Information Processing in Sensor Networks
"7th Workshop on Data Management for End-To-End Machine Learning, DEEM 2023","Proceedings of the 7th Workshop on Data Management for End-To-End Machine Learning, DEEM 2023"
"8th Conference on Computing Education Practice, CEP 2024",ACM International Conference Proceeding Series
"46th International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR 2023",SIGIR 2023 - Proceedings of the 46th International ACM SIGIR Conference on Research and Development in Information Retrieval
"1st Workshop on Simplicity in Management of Data, SiMoD 2023",ACM International Conference Proceeding Series
"2nd International Conference of the Greece ACM SIGCHI Chapter, CHIGreece 2023",ACM International Conference Proceeding Series
"7th ACM SIGSPATIAL International Workshop on Geospatial Humanities, GeoHumanities 2023",GeoHumanities 2023 - Proceedings of the 7th ACM SIGSPATIAL International Workshop on Geospatial Humanities
"23rd International Conference on Computing Education Research, Koli Calling 2023",ACM International Conference Proceeding Series
"7th International Conference on Video and Image Processing, ICVIP 2023",ACM International Conference Proceeding Series
"7th International Conference on Big Data and Internet of Things, BDIOT 2023",ACM International Conference Proceeding Series
"29th ACM SIGPLAN Annual Symposium on Principles and Practice of Parallel Programming, PPoPP 2024","Proceedings of the ACM SIGPLAN Symposium on Principles and Practice of Parallel Programming, PPOPP"
"31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering, ESEC/FSE 2023",ESEC/FSE 2023 - Proceedings of the 31st ACM Joint Meeting European Software Engineering Conference and Symposium on the Foundations of Software Engineering
"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",GIS: Proceedings of the ACM International Symposium on Advances in Geographic Information Systems
"18th European Conference on Computer Systems, EuroSys 2023","Proceedings of the 18th European Conference on Computer Systems, EuroSys 2023"
"International Conference on Artificial Intelligence, Blockchain, Computing and Security, ICABCS 2023","Artificial Intelligence, Blockchain, Computing and Security - Proceedings of the International Conference on Artificial Intelligence, Blockchain, Computing and Security, ICABCS 2023"
"42nd ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS 2023",Proceedings of the ACM SIGACT-SIGMOD-SIGART Symposium on Principles of Database Systems
"16th International Conference on Theory and Practice of Electronic Governance, ICEGOV 2023",ACM International Conference Proceeding Series
"18th Conference of the European Chapter of the Association for Computational Linguistics, EACL 2024 - Findings of EACL 2024","EACL 2024 - 18th Conference of the European Chapter of the Association for Computational Linguistics, Findings of EACL 2024"
"19th Workshop on Hot Topics in Operating Systems, HotOS 2023",HotOS 2023 - Proceedings of the 19th Workshop on Hot Topics in Operating Systems
"34th ACM Conference on Hypertext and Social Media, HT 2023",HT 2023 - The 34th ACM Conference on Hypertext and Social Media
"2023 International Conference on Electronics, Computers and Communication Technology, CECCT 2023",ACM International Conference Proceeding Series
"2023 ACM Conference on Equity and Access in Algorithms, Mechanisms, and Optimization, EAAMO 2023",ACM International Conference Proceeding Series
"37th ACM International Conference on Supercomputing, ICS 2023",Proceedings of the International Conference on Supercomputing
"12th International Symposium on Mobile Mapping Technology, MMT 2023","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives"
"12th International Conference on Networks, Communication and Computing, Conference Proceedings, ICNCC 2023",ACM International Conference Proceeding Series
"2023 Workshop on Human-In-the-Loop Data Analytics, HILDA 2023 - Co-located with SIGMOD 2023",HILDA 2023 - Workshop on Human-In-the-Loop Data Analytics - Co-located with SIGMOD 2023
"18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024","Proceedings of the 2024 18th International Conference on Ubiquitous Information Management and Communication, IMCOM 2024"
"2024 International Conference on Electronics, Information, and Communication, ICEIC 2024","2024 International Conference on Electronics, Information, and Communication, ICEIC 2024"
"29th CIPA Symposium on Documenting, Understanding, Preserving Cultural Heritage. Humanities and Digital Technologies for Shaping the Future","International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives"
"27th ACM International Systems and Software Product Line Conference, SPLC 2023",ACM International Conference Proceeding Series
"32nd ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA 2023",ISSTA 2023 - Proceedings of the 32nd ACM SIGSOFT International Symposium on Software Testing and Analysis
2022 Geoinformation Week: Broadening Geospatial Science and Technology,"International Archives of the Photogrammetry, Remote Sensing and Spatial Information Sciences - ISPRS Archives"
"3rd International Conference on Bioinformatics and Intelligent Computing, BIC 2023",ACM International Conference Proceeding Series
"26th International Conference on Database Theory, ICDT 2023","Leibniz International Proceedings in Informatics, LIPIcs"
"54th ACM Technical Symposium on Computer Science Education, SIGCSE 2023",SIGCSE 2023 - Proceedings of the 54th ACM Technical Symposium on Computer Science Education
"7th International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech 2023","2023 7th International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech 2023"
"2023 IEEE International Conference on Visual Communications and Image Processing, VCIP 2023","2023 IEEE International Conference on Visual Communications and Image Processing, VCIP 2023"
"13th International Conference on Dependable Systems, Services and Technologies, DESSERT 2023","2023 13th International Conference on Dependable Systems, Services and Technologies, DESSERT 2023"
"2023 IEEE Latin American Conference on Computational Intelligence, LA-CCI 2023","2023 IEEE Latin American Conference on Computational Intelligence, LA-CCI 2023"
