start_id,end_id
10.1145/3577163.3595091,10.1109/JBHI.2024.3368049
10.1145/3577163.3595091,10.1109/DESSERT61349.2023.10416531
10.1145/3577163.3595091,10.1109/TMM.2024.3356029
10.1145/3577163.3595091,10.1142/S0219467825500561
10.1145/3577163.3595091,10.12694/scpe.v25i1.2296
10.1145/3577163.3595091,10.1109/CISCT57197.2023.10351356
10.1145/3577163.3595091,10.1109/ICRASET59632.2023.10420257
10.1145/3577163.3595091,10.1109/THMS.2024.3351138
10.1145/3577163.3595091,10.1109/IEMENTech60402.2023.10423480
10.1145/3577163.3595091,10.1016/j.bspc.2023.105793
10.1145/3577163.3595091,10.1109/JIOT.2024.3373783
10.1145/3577163.3595091,10.1016/j.displa.2023.102625
10.1145/3577163.3595091,10.2478/amns.2023.2.01665
10.1145/3577163.3595091,10.1109/TAI.2024.3376319
10.1145/3577163.3595091,10.1109/TIFS.2023.3324326
10.1145/3577163.3595091,10.1145/3580305.3599395
10.1145/3577163.3595091,10.1186/s12859-024-05631-x
10.1145/3577163.3595091,10.1016/j.eswa.2023.121924
10.1145/3577163.3595091,10.1145/3592980.3595300
10.1145/3577163.3595091,10.5194/isprs-archives-XLVIII-1-W1-2023-311-2023
10.1145/3577163.3595091,10.1109/MIC.2023.3333199
10.1145/3577163.3595091,10.1109/TMM.2023.3301276
10.1145/3577163.3595091,10.1109/ACCESS.2024.3362247
10.1145/3577163.3595091,10.1109/HPEC58863.2023.10363590
10.1145/3577163.3595091,10.1016/j.conengprac.2024.105843
10.1145/3577163.3595091,10.1145/3620678.3624668
10.1145/3577163.3595091,10.1145/3584371.3613022
10.1145/3577163.3595091,10.1145/3592980.3595316
10.1145/3577163.3595091,10.1109/BigDIA60676.2023.10429411
10.1016/j.procs.2023.12.161,10.1109/AIIIP61647.2023.00007
10.1016/j.procs.2023.12.161,10.1016/j.bspc.2023.105899
10.1016/j.procs.2023.12.161,10.1109/ICNGN59831.2023.10396786
10.1016/j.procs.2023.12.161,10.1145/3555041.3589402
10.1016/j.procs.2023.12.161,10.1016/j.bspc.2023.105611
10.1016/j.procs.2023.12.161,10.30420/456164024
10.1016/j.procs.2023.12.161,10.1007/s10115-023-02009-y
10.1145/3592980.3595316,10.1145/3615890.3628537
10.1145/3592980.3595316,10.1109/ICTBIG59752.2023.10456032
10.1145/3592980.3595316,10.2478/amns.2023.2.00862
10.1145/3592980.3595316,10.1016/j.displa.2023.102625
10.1145/3592980.3595316,10.1145/3614321.3614381
10.1145/3592980.3595316,10.2478/amns.2023.2.00811
10.1145/3592980.3595316,10.4230/LIPIcs.ICDT.2023.3
10.1145/3592980.3595316,10.1145/3597926.3598116
10.1145/3592980.3595316,10.1145/3616712.3616791
10.1145/3592980.3595316,10.1145/3637494.3637516
10.1145/3592980.3595316,10.1016/j.aei.2023.102224
10.1145/3592980.3595316,10.1109/JIOT.2024.3373783
10.1145/3592980.3595316,10.22489/CinC.2023.116
10.1145/3592980.3595316,10.1109/IEMENTech60402.2023.10423480
10.1145/3592980.3595316,10.1109/ICECA58529.2023.10395674
10.1145/3592980.3595316,10.1145/3592980.3595300
10.1145/3592980.3595316,10.1109/SUMMA60232.2023.10349498
10.1145/3592980.3595316,10.1109/THMS.2023.3329536
10.1145/3592980.3595316,10.1109/NKCon59507.2023.10396396
10.1145/3592980.3595316,10.1145/3576915.3624394
10.1145/3615833.3628590,10.1145/3592980.3595323
10.1145/3615833.3628590,10.1016/j.specom.2024.103039
10.1145/3615833.3628590,10.1109/TLT.2023.3322128
10.1145/3615833.3628590,10.1016/j.bspc.2023.105611
10.1145/3615833.3628590,10.1007/s11042-023-16066-6
10.1145/3615833.3628590,10.1109/CANDAR60563.2023.00028
10.1145/3615833.3628590,10.1016/j.procs.2023.12.042
10.1145/3615833.3628590,10.1109/ACCESS.2024.3362247
10.1145/3615833.3628590,10.1145/3543873.3587563
10.1145/3615833.3628590,10.1145/3597465.3605224
10.1145/3615833.3628590,10.1007/s00521-024-09577-2
10.1145/3615833.3628590,10.1007/s10115-023-01948-w
10.1145/3615833.3628590,10.1145/3633512
10.1145/3615833.3628590,10.1145/3539618.3591702
10.1145/3600006.3613174,10.1109/IW_MSS59200.2023.10368597
10.1145/3600006.3613174,10.1021/acs.jcim.3c01953
10.1145/3600006.3613174,10.1145/3624717
10.1145/3600006.3613174,10.1109/ICICIS58388.2023.10391183
10.1145/3600006.3613174,10.1016/j.eswa.2023.122841
10.1145/3600006.3613174,10.1109/CINTI59972.2023.10381957
10.1145/3600006.3613174,10.1145/3615890.3628537
10.1145/3600006.3613174,10.1109/TSG.2023.3276390
10.1145/3600006.3613174,10.3390/s24031008
10.1145/3600006.3613174,10.1109/TKDE.2024.3359710
10.1145/3600006.3613174,10.1145/3627341.3630376
10.1145/3600006.3613174,10.1109/TNSE.2023.3300768
10.1145/3600006.3613174,10.1145/3539618.3591702
10.1145/3600006.3613174,10.1016/j.eswa.2024.123388
10.1145/3600006.3613174,10.4230/LIPIcs.ICDT.2023.3
10.1145/3600006.3613174,10.30420/456164024
10.1145/3600006.3613174,10.1016/j.iswa.2024.200343
10.1145/3600006.3613174,10.1016/j.eswa.2023.121924
10.1145/3600006.3613174,10.1038/s41746-023-00994-6
10.1145/3600006.3613174,10.1109/ICSIMA59853.2023.10373467
10.1145/3600006.3613174,10.1109/TNET.2024.3352029
10.1145/3600006.3613174,10.1145/3595360.3595853
10.1145/3600006.3613174,10.1145/3580305.3599352
10.1145/3600006.3613174,10.1145/3543873.3587563
10.1145/3600006.3613174,10.1016/j.compbiomed.2024.108066
10.1145/3600006.3613174,10.1016/j.bspc.2023.105899
10.1145/3600006.3613174,10.1007/s11042-023-16304-x
10.1145/3600006.3613174,10.1145/3614008.3614044
10.1145/3600006.3613174,10.1109/ICEIC61013.2024.10457244
10.1145/3600006.3613174,10.1109/JIOT.2024.3373783
10.1145/3600006.3613174,10.1145/3592980.3595323
10.1145/3600006.3613174,10.1186/s12859-024-05634-8
10.1145/3600006.3613174,10.1145/3584372.3588680
10.1145/3600006.3613174,10.1109/TIFS.2023.3324326
10.1145/3600006.3613174,10.1109/TIFS.2023.3326364
10.1145/3600006.3613174,10.1145/3583133.3590662
10.1145/3600006.3613174,10.3934/electreng.2024004
10.1145/3600006.3613174,10.1145/3615522.3615555
10.1145/3600006.3613174,10.1002/widm.1525
10.1145/3600006.3613174,10.1145/3593856.3595905
10.1145/3600006.3613174,10.1109/JIOT.2024.3352016
10.1145/3600006.3613174,10.1145/3613917.3613923
10.1145/3600006.3613174,10.1145/3555041.3589400
10.1145/3600006.3613174,10.1016/j.procs.2023.11.007
10.1145/3609956.3609968,10.1145/3584371.3612997
10.1145/3609956.3609968,10.1109/SUMMA60232.2023.10349480
10.1145/3609956.3609968,10.1109/ICCCIS60361.2023.10425178
10.1145/3609956.3609968,10.4230/LIPIcs.ICDT.2024.20
10.1145/3609956.3609968,10.1109/ICITDA60835.2023.10426919
10.1145/3609956.3609968,10.1016/j.compbiomed.2024.108201
10.1145/3609956.3609968,10.1016/j.aei.2023.102224
10.1145/3609956.3609968,10.1108/JMTM-03-2023-0114
10.1145/3609956.3609968,10.1109/JIOT.2024.3373783
10.1145/3609956.3609968,10.1145/3581641.3584067
10.1145/3609956.3609968,10.1145/3543873.3587563
10.1145/3609956.3609968,10.48786/edbt.2023.52
10.1145/3609956.3609968,10.1109/TSG.2023.3276390
10.1145/3609956.3609968,10.1145/3555041.3589404
10.1145/3609956.3609968,10.1109/TIFS.2024.3368892
10.1145/3609956.3609968,10.1145/3584372.3588680
10.1145/3609956.3609968,10.1145/3539618.3591637
10.1145/3609956.3609968,10.1016/j.ins.2024.120421
10.1145/3609956.3609968,10.1016/j.compbiomed.2024.108124
10.1145/3609956.3609968,10.1109/BIOSIG58226.2023.10345994
10.1145/3609956.3609968,10.1038/s41746-023-00994-6
10.1145/3609956.3609968,10.1145/3584372.3589935
10.1145/3609956.3609968,10.1109/ACCESS.2024.3381032
10.1145/3609956.3609968,10.1109/AIIIP61647.2023.00007
10.1145/3609956.3609968,10.1117/12.3021729
10.1145/3592980.3595300,10.4230/LIPIcs.ICDT.2023.19
10.1145/3592980.3595300,10.1109/JIOT.2024.3352016
10.1145/3592980.3595300,10.5194/isprs-archives-XLVIII-4-W7-2023-261-2023
10.1145/3592980.3595300,10.1016/j.engappai.2024.108036
10.1145/3592980.3595300,10.1109/IW_MSS59200.2023.10368597
10.1145/3592980.3595300,10.3390/s24020507
10.1145/3592980.3595300,10.1145/3639390.3639393
10.1145/3592980.3595300,10.1016/j.dsm.2023.12.002
10.1145/3592980.3595300,10.1109/MNET.2024.3374080
10.1145/3592980.3595300,10.1145/3617695.3617702
10.1145/3592980.3595300,10.1109/MODELS-C59198.2023.00009
10.1145/3592980.3595300,10.1145/3584371.3613022
10.1145/3592980.3595300,10.1145/3615522.3615555
10.1145/3592980.3595300,10.1109/TSMC.2023.3301001
10.1145/3592980.3595300,10.1145/3555041.3589400
10.1145/3592980.3595300,10.1145/3584372.3588667
10.1145/3592980.3595300,10.1016/j.future.2024.03.012
10.1145/3592980.3595300,10.1109/TIP.2023.3333217
10.1145/3592980.3595300,10.1145/3600006.3613174
10.1145/3592980.3595300,10.1109/AIIIP61647.2023.00007
10.1145/3592980.3595300,10.1109/SUMMA60232.2023.10349498
10.1145/3592980.3595300,10.1186/s12859-024-05631-x
10.1145/3592980.3595300,10.1109/TKDE.2024.3363009
10.1145/3592980.3595300,10.3390/info15010034
10.1145/3592980.3595300,10.1007/s00034-023-02544-7
10.1145/3592980.3595300,10.1117/12.2683433
10.1145/3592980.3595300,10.1109/3ICT60104.2023.10391650
10.1145/3592980.3595300,10.1109/ACCESS.2024.3366455
10.1145/3592980.3595300,10.1038/s41746-023-00994-6
10.1145/3592980.3595300,10.1109/ICoSNIKOM60230.2023.10364398
10.1145/3592980.3595300,10.1016/j.eswa.2023.121489
10.1145/3592980.3595300,10.1109/CIPAE60493.2023.00019
10.1145/3592980.3595300,10.1109/AMCAI59331.2023.10431516
10.1145/3592980.3595300,10.1145/3581641.3584067
10.1145/3592980.3595300,10.1016/j.bspc.2023.105611
10.1145/3592980.3595300,10.4230/LIPIcs.ICDT.2023.20
10.1145/3592980.3595300,10.1109/MIC.2023.3333199
10.1145/3592980.3595300,10.1109/ICICyTA60173.2023.10428947
10.1145/3592980.3595300,10.1145/3539618.3592061
10.1145/3592980.3595300,10.12694/scpe.v25i1.2296
