paperID,reviewerID,grade,review
36833670,2054066387,1,The paper was informative.
36833670,2243095345,4,The research was well-written.
258790926,2140061238,3,The analysis was interesting.
258790926,122028073,3,The research was informative.
37553840,108284628,1,The manuscript was interesting.
37553840,133754356,4,The research was innovative.
73431108,2140061238,1,The manuscript was well-written.
73431108,2253737059,2,The analysis was well-written.
4286278,143646612,3,The manuscript was informative.
4286278,122139827,4,The research was interesting.
78794320,135864343,2,The analysis was interesting.
78794320,122599575,5,The analysis was well-written.
194216967,82996539,3,The paper was interesting.
214090037,2018467139,4,The analysis was thorough.
214090037,148296919,3,The manuscript was thorough.
56555627,117481085,4,The paper was interesting.
56555627,2123215720,3,The paper was interesting.
56555627,30610928,4,The research was interesting.
82089198,104956062,2,The paper was well-written.
73871837,98511618,1,The paper was thorough.
99115501,2137832935,1,The paper was well-written.
99115501,1477526489,3,The analysis was well-written.
99115501,1431153698,3,The research was well-written.
179081275,2182086763,2,The research was informative.
181456576,119352842,4,The paper was interesting.
186375032,2241862501,4,The analysis was well-written.
186375032,119507390,5,The study was innovative.
186375032,2054066387,3,The study was informative.
199840403,2243095345,5,The analysis was insightful.
199840403,2247582814,5,The paper was innovative.
204079890,143646612,2,The paper was innovative.
204079890,97911868,2,The study was well-written.
204079890,2096243272,3,The paper was informative.
220353019,2218061355,1,The manuscript was thorough.
222856387,2193210098,4,The manuscript was interesting.
122599050,2182086763,2,The manuscript was thorough.
122599050,147962352,5,The paper was informative.
219591472,102683959,4,The paper was interesting.
219591472,2096375852,2,The paper was well-written.
219591472,66581544,5,The study was well-written.
172709235,2065386201,5,The analysis was informative.
172709235,2123666838,2,The research was insightful.
172709235,2133823537,4,The analysis was well-written.
153872722,30610928,1,The analysis was innovative.
153872722,147494901,2,The manuscript was well-written.
264049796,117481085,4,The manuscript was interesting.
184037610,89696177,4,The manuscript was informative.
182334866,146578134,4,The paper was interesting.
192484922,1396985790,3,The study was innovative.
153524263,136431393,2,The paper was informative.
204781074,13469653,2,The research was innovative.
204781074,153286091,1,The manuscript was insightful.
204781074,2059685525,4,The manuscript was informative.
250466801,102535674,3,The manuscript was well-written.
160639247,145599871,4,The analysis was informative.
160639247,2196783717,1,The paper was insightful.
160639247,2123666838,2,The analysis was interesting.
168204084,146465373,3,The paper was interesting.
168204084,2054066387,2,The study was informative.
168204084,39513550,1,The manuscript was well-written.
218155783,2096375852,5,The paper was informative.
218155783,2243095345,4,The research was insightful.
201226435,2249371780,3,The manuscript was thorough.
201226435,2098360087,4,The paper was interesting.
265930238,2243095345,2,The research was insightful.
265930238,52528096,3,The analysis was interesting.
265930238,148389916,4,The analysis was well-written.
238724897,2054066387,2,The paper was informative.
157228697,2241862501,4,The paper was innovative.
157228697,117376442,1,The paper was thorough.
63344908,2090079653,3,The study was interesting.
15616987,52528096,1,The manuscript was interesting.
89122927,98511618,2,The paper was interesting.
89122927,2241862501,3,The analysis was well-written.
89122927,135864343,3,The study was well-written.
161530920,1381107323,4,The paper was insightful.
161530920,2284451209,3,The analysis was interesting.
123594221,2243095345,2,The paper was insightful.
123594221,146951012,2,The study was interesting.
123594221,30610928,4,The paper was interesting.
242294658,2258510880,3,The study was informative.
242294658,133754356,2,The study was insightful.
20901854,2123666838,5,The analysis was innovative.
265288747,1477526489,1,The study was well-written.
265288747,2090079653,4,The analysis was well-written.
54484490,2123666838,3,The analysis was informative.
54484490,120508973,1,The manuscript was thorough.
54484490,145599871,2,The study was insightful.
268697564,2258510880,4,The paper was thorough.
268697564,79869264,4,The paper was informative.
268697564,122139827,5,The study was informative.
17317040,1446746160,3,The research was innovative.
57733214,70125082,3,The analysis was insightful.
73187080,30610928,2,The research was informative.
73187080,2284451209,4,The study was innovative.
102416176,13469653,4,The research was innovative.
102416176,2065386201,3,The study was well-written.
100476127,98511618,2,The paper was informative.
138760739,2247582814,4,The paper was innovative.
138760739,2133823537,3,The research was innovative.
138760739,1396985790,2,The research was innovative.
148629271,2059685525,5,The manuscript was thorough.
132612270,117186939,3,The analysis was well-written.
132612270,1582700734,4,The analysis was innovative.
177802287,2122676324,5,The research was well-written.
198893053,148389916,3,The research was innovative.
198893053,147962352,2,The research was insightful.
198893053,2032781703,5,The research was innovative.
120596926,147494901,2,The analysis was informative.
213330802,2032781703,3,The study was well-written.
213330802,134200755,5,The study was informative.
213330802,2099165650,2,The research was innovative.
10833500,82996539,2,The paper was innovative.
20089662,122028073,1,The manuscript was thorough.
20089662,2053734872,5,The research was interesting.
20089662,16047379,3,The study was innovative.
63068375,2241862501,5,The manuscript was insightful.
63068375,136431393,2,The analysis was innovative.
63068375,89696177,4,The study was well-written.
72915209,39513550,1,The study was innovative.
72915209,2182086763,3,The manuscript was thorough.
85755715,120508973,1,The manuscript was interesting.
85755715,2196783717,5,The paper was interesting.
85755715,1431306670,5,The research was well-written.
52858045,117481085,1,The manuscript was interesting.
175548404,2284451209,4,The research was innovative.
175548404,2133823537,1,The paper was innovative.
175548404,2190230228,1,The study was thorough.
76745315,135864343,2,The analysis was innovative.
76745315,148249768,2,The research was informative.
76745315,1431153698,4,The analysis was interesting.
221673644,2098360087,1,The analysis was informative.
221673644,102683959,2,The analysis was thorough.
113565652,1477526489,3,The research was insightful.
113565652,2190230228,4,The analysis was informative.
53723223,66581544,5,The research was well-written.
210736321,39513550,5,The research was well-written.
210736321,119507390,3,The analysis was interesting.
61880248,2258510880,3,The paper was interesting.
61880248,1381107323,2,The study was well-written.
128725225,122599575,5,The research was insightful.
128725225,2096375852,2,The manuscript was innovative.
155980968,97911868,2,The paper was interesting.
155980968,79869264,4,The analysis was innovative.
225790380,122028073,2,The research was innovative.
204698397,2059685525,1,The research was insightful.
204698397,134200755,5,The analysis was well-written.
204698397,102683959,3,The research was interesting.
177250985,102683959,1,The manuscript was interesting.
177250985,2096375852,4,The analysis was thorough.
88634815,2249371780,2,The analysis was insightful.
88634815,133754356,2,The manuscript was informative.
88634815,82996539,3,The research was innovative.
62882485,1446746160,2,The research was informative.
62882485,2079940257,4,The analysis was well-written.
62882485,108284628,4,The paper was interesting.
14640476,122028073,5,The analysis was well-written.
681669,119507390,4,The research was interesting.
192220252,2190230228,4,The analysis was well-written.
192220252,65791722,2,The manuscript was thorough.
268805100,108284628,3,The paper was thorough.
268805100,2196783717,1,The study was innovative.
